Start to fetch stock prices history
1326_day: True, MACD 呈上升趨勢
1326_month: True, MACD 呈上升趨勢
1326_60m: False, MACD 趨勢不明
1326_30m: False, MACD 趨勢不明
1326_15m: True, MACD 呈上升趨勢
1336_week: True, MACD 呈上升趨勢
1336_day: True, MACD 呈上升趨勢
1336_month: True, MACD 呈上升趨勢
1336_60m: False, MACD 趨勢不明
1336_30m: True, MACD 呈上升趨勢中回測
1336_15m: False, MACD 趨勢不明
1338_week: True, MACD 呈上升趨勢
1338_day: True, MACD 呈上升趨勢
1338_month: True, MACD 呈上升趨勢中回測
1338_60m: True, MACD 呈上升趨勢
1338_30m: True, MACD 呈上升趨勢
1338_15m: False, MACD 趨勢不明
1339_week: False, MACD 趨勢不明
1339_day: True, MACD 呈上升趨勢
1339_month: False, MACD 趨勢不明
1339_60m: True, MACD 呈上升趨勢
1339_30m: False, MACD 趨勢不明
1339_15m: False, MACD 趨勢不明
1340_week: False, MACD 趨勢不明
1340_day: True, MACD 呈上升趨勢
1340_month: False, MACD 趨勢不明
1340_60m: True, MACD 呈上升趨勢
1340_30m: False, MACD 趨勢不明
1340_15m: False, MACD 趨勢不明
1341_week: True, MACD 呈上升趨勢
1341_day: True, MACD 呈上升趨勢
1341_month: True, MACD 呈上升趨勢
1341_60m: True, MACD 呈上升趨勢
1341_30m: True, MACD 呈上升趨勢
1341_15m: True, MACD 呈上升趨勢
1342_week: True, MACD 呈上升趨勢
1342_day: True, MACD 呈上升趨勢
1342_month: False, MACD 趨勢不明
1342_60m: False, MACD 趨勢不明
1342_30m: True, MACD 呈上升趨勢中回測
1342_15m: False, MACD 趨勢不明
1402_week: False, MACD 趨勢不明
1402_day: True, MACD 呈上升趨勢
1402_month: True, MACD 呈上升趨勢
1402_60m: False, MACD 趨勢不明
1402_30m: True, MACD 呈上升趨勢中回測
1402_15m: False, MACD 趨勢不明
1409_week: True, MACD 呈上升趨勢
1409_day: True, MACD 呈上升趨勢
1409_month: True, MACD 呈上升趨勢
