Datetime,Open,High,Low,Close,Adj Close,Volume
2024-08-23 12:30:00,45.15,45.2,44.95,45.15,45.15,405324
2024-08-23 13:00:00,45.2,45.45,44.9,45.1,45.1,771207
2024-08-26 09:00:00,45.1,45.3,44.05,44.3,44.3,697747
2024-08-26 09:30:00,44.35,45.1,44.3,44.95,44.95,353376
2024-08-26 10:00:00,45.0,45.45,44.9,45.15,45.15,331352
2024-08-26 10:30:00,45.15,45.3,44.5,44.5,44.5,297944
2024-08-26 11:00:00,44.45,45.1,44.45,45.0,45.0,113517
2024-08-26 11:30:00,45.0,45.05,44.6,44.65,44.65,100526
2024-08-26 12:00:00,44.65,44.65,44.5,44.5,44.5,123500
2024-08-26 12:30:00,44.55,44.55,43.8,43.9,43.9,502019
2024-08-26 13:00:00,43.95,43.95,43.25,43.3,43.3,681438
2024-08-27 09:00:00,43.1,45.3,42.75,44.7,44.7,1964193
2024-08-27 09:30:00,44.75,45.6,44.6,45.2,45.2,1129590
2024-08-27 10:00:00,45.2,45.75,44.9,45.15,45.15,602133
2024-08-27 10:30:00,45.2,45.35,44.9,45.15,45.15,300471
2024-08-27 11:00:00,45.1,45.3,44.7,45.25,45.25,288431
2024-08-27 11:30:00,45.25,46.85,45.25,46.15,46.15,1883664
2024-08-27 12:00:00,46.1,47.2,45.9,47.0,47.0,975825
2024-08-27 12:30:00,47.0,47.5,47.0,47.5,47.5,1721689
2024-08-27 13:00:00,47.5,47.5,47.5,47.5,47.5,135698
2024-08-28 09:00:00,48.45,51.1,47.8,50.1,50.1,13308179
2024-08-28 09:30:00,50.1,50.2,49.55,49.65,49.65,1974761
2024-08-28 10:00:00,49.6,49.65,49.15,49.45,49.45,1629887
2024-08-28 10:30:00,49.45,49.95,49.45,49.7,49.7,820289
2024-08-28 11:00:00,49.7,49.85,49.4,49.65,49.65,536090
2024-08-28 11:30:00,49.65,49.8,49.45,49.75,49.75,406028
2024-08-28 12:00:00,49.75,49.85,48.5,48.5,48.5,1831699
2024-08-28 12:30:00,48.55,48.75,47.95,48.1,48.1,1737127
2024-08-28 13:00:00,48.2,48.35,47.8,48.2,48.2,1587014
2024-08-29 09:00:00,47.65,48.8,46.55,46.85,46.85,1882664
2024-08-29 09:30:00,46.85,47.15,46.75,46.85,46.85,509652
2024-08-29 10:00:00,46.85,47.35,46.6,47.1,47.1,490144
2024-08-29 10:30:00,47.1,47.3,47.0,47.15,47.15,207010
2024-08-29 11:00:00,47.15,47.25,47.05,47.2,47.2,195759
2024-08-29 11:30:00,47.15,47.2,46.8,46.8,46.8,222634
2024-08-29 12:00:00,46.75,47.1,46.75,47.05,47.05,109893
2024-08-29 12:30:00,47.05,47.25,46.9,47.2,47.2,292377
2024-08-29 13:00:00,47.2,47.25,47.0,47.05,47.05,455478
2024-08-30 09:00:00,46.9,47.8,46.7,46.8,46.8,1050367
2024-08-30 09:30:00,46.75,46.9,45.8,46.2,46.2,598234
2024-08-30 10:00:00,46.15,46.15,45.1,45.55,45.55,573098
2024-08-30 10:30:00,45.55,45.85,45.4,45.5,45.5,372343
2024-08-30 11:00:00,45.5,45.6,45.15,45.25,45.25,205570
2024-08-30 11:30:00,45.2,45.2,44.85,44.95,44.95,298925
2024-08-30 12:00:00,44.95,45.05,44.85,45.0,45.0,235207
2024-08-30 12:30:00,45.0,45.2,45.0,45.05,45.05,189552
2024-08-30 13:00:00,45.1,45.2,44.75,45.0,45.0,450464
2024-09-02 09:00:00,45.1,45.5,44.55,44.9,44.9,283372
2024-09-02 09:30:00,45.0,45.0,44.7,44.95,44.95,110178
2024-09-02 10:00:00,44.9,45.15,44.7,44.9,44.9,174199
2024-09-02 10:30:00,44.9,45.15,44.85,44.85,44.85,142357
2024-09-02 11:00:00,44.9,45.3,44.85,45.1,45.1,962028
2024-09-02 11:30:00,45.0,45.0,44.6,44.6,44.6,154299
2024-09-02 12:00:00,44.6,44.7,44.25,44.4,44.4,192253
2024-09-02 12:30:00,44.45,44.5,44.15,44.25,44.25,152736
2024-09-02 13:00:00,44.2,44.45,44.1,44.15,44.15,246709
2024-09-03 09:00:00,44.05,46.2,43.75,45.9,45.9,1858714
2024-09-03 09:30:00,45.95,46.25,45.4,45.55,45.55,1330832
2024-09-03 10:00:00,45.5,45.5,44.9,45.05,45.05,511373
2024-09-03 10:30:00,45.05,45.2,44.75,45.05,45.05,255470
2024-09-03 11:00:00,45.1,45.35,44.75,45.0,45.0,261642
2024-09-03 11:30:00,45.05,45.15,44.9,45.0,45.0,111422
2024-09-03 12:00:00,45.0,45.65,44.95,45.2,45.2,380310
2024-09-03 12:30:00,45.15,45.15,44.8,44.8,44.8,184998
2024-09-03 13:00:00,44.75,44.8,44.1,44.55,44.55,444277
2024-09-04 09:00:00,41.8,43.1,40.25,43.1,43.1,1097862
2024-09-04 09:30:00,43.1,43.35,42.3,42.9,42.9,425384
2024-09-04 10:00:00,42.9,43.15,42.5,43.1,43.1,121202
2024-09-04 10:30:00,43.1,43.1,42.3,42.35,42.35,175269
2024-09-04 11:00:00,42.3,42.45,42.2,42.25,42.25,102158
2024-09-04 11:30:00,42.25,42.4,42.2,42.4,42.4,61855
2024-09-04 12:00:00,42.25,42.6,42.15,42.25,42.25,116657
2024-09-04 12:30:00,42.25,42.6,42.25,42.35,42.35,182367
2024-09-04 13:00:00,42.3,42.5,42.0,42.5,42.5,263405
2024-09-05 09:00:00,43.0,44.3,42.9,43.5,43.5,802900
2024-09-05 09:30:00,43.45,43.5,42.95,42.95,42.95,223139
2024-09-05 10:00:00,42.95,43.05,42.35,42.7,42.7,245826
2024-09-05 10:30:00,42.7,42.85,42.6,42.8,42.8,52450
2024-09-05 11:00:00,42.8,42.85,42.65,42.85,42.85,62090
2024-09-05 11:30:00,42.75,43.0,42.7,42.8,42.8,83203
2024-09-05 12:00:00,42.7,42.95,42.6,42.65,42.65,138451
2024-09-05 12:30:00,42.6,42.65,42.4,42.45,42.45,230549
2024-09-05 13:00:00,42.5,42.8,42.2,42.55,42.55,349652
2024-09-06 09:00:00,43.5,43.5,42.1,42.45,42.45,359594
2024-09-06 09:30:00,42.4,42.45,41.85,42.2,42.2,244959
2024-09-06 10:00:00,42.15,42.7,42.1,42.45,42.45,202160
2024-09-06 10:30:00,42.4,42.55,42.1,42.2,42.2,136119
2024-09-06 11:00:00,42.2,42.25,42.05,42.05,42.05,41170
2024-09-06 11:30:00,42.1,42.1,41.9,41.9,41.9,80240
2024-09-06 12:00:00,41.9,42.25,41.9,41.9,41.9,69483
2024-09-06 12:30:00,41.9,41.95,41.65,41.75,41.75,184337
2024-09-06 13:00:00,41.8,42.15,41.8,42.0,42.0,164191
2024-09-09 09:00:00,41.3,42.55,41.25,41.45,41.45,314057
2024-09-09 09:30:00,41.5,41.85,41.3,41.8,41.8,119316
2024-09-09 10:00:00,41.8,41.9,41.6,41.9,41.9,112021
2024-09-09 10:30:00,41.95,42.1,41.6,42.05,42.05,134577
2024-09-09 11:00:00,41.95,41.95,41.6,41.75,41.75,73743
2024-09-09 11:30:00,41.7,41.95,41.55,41.9,41.9,88732
2024-09-09 12:00:00,41.9,42.15,41.8,42.0,42.0,133811
2024-09-09 12:30:00,42.0,42.5,42.0,42.4,42.4,143300
2024-09-09 13:00:00,42.35,42.75,42.35,42.65,42.65,117080
2024-09-10 09:00:00,42.6,43.15,42.05,42.2,42.2,370768
2024-09-10 09:30:00,42.05,42.2,41.45,41.55,41.55,210882
2024-09-10 10:00:00,41.5,41.55,41.05,41.15,41.15,161892
2024-09-10 10:30:00,41.3,41.55,41.05,41.1,41.1,81377
2024-09-10 11:00:00,41.2,41.6,40.5,40.6,40.6,169161
2024-09-10 11:30:00,40.7,40.8,40.5,40.75,40.75,133495
2024-09-10 12:00:00,40.75,40.75,40.0,40.2,40.2,223744
2024-09-10 12:30:00,40.15,40.45,40.0,40.45,40.45,236181
2024-09-10 13:00:00,40.35,40.6,40.05,40.35,40.35,244148
2024-09-11 09:00:00,40.45,40.7,40.2,40.65,40.65,420714
2024-09-11 09:30:00,40.65,40.7,40.1,40.1,40.1,121598
2024-09-11 10:00:00,40.1,40.25,39.8,40.05,40.05,127117
2024-09-11 10:30:00,40.0,40.2,39.9,40.0,40.0,39550
2024-09-11 11:00:00,40.0,40.0,39.6,39.6,39.6,67031
2024-09-11 11:30:00,39.6,39.85,39.6,39.85,39.85,53911
2024-09-11 12:00:00,39.75,39.85,39.2,39.45,39.45,172166
2024-09-11 12:30:00,39.4,39.75,39.4,39.6,39.6,145517
2024-09-11 13:00:00,39.55,39.65,39.3,39.3,39.3,119724
2024-09-12 09:00:00,39.65,41.0,39.4,40.4,40.4,724564
2024-09-12 09:30:00,40.4,40.5,40.1,40.35,40.35,155440
2024-09-12 10:00:00,40.4,40.85,40.25,40.6,40.6,132185
2024-09-12 10:30:00,40.55,40.65,40.3,40.3,40.3,42059
2024-09-12 11:00:00,40.3,40.45,40.25,40.3,40.3,39375
2024-09-12 11:30:00,40.25,40.3,40.2,40.2,40.2,27055
2024-09-12 12:00:00,40.2,40.35,40.05,40.1,40.1,59799
2024-09-12 12:30:00,40.1,40.5,40.05,40.25,40.25,89840
2024-09-12 13:00:00,40.25,40.35,40.05,40.15,40.15,135675
2024-09-13 09:00:00,40.45,40.85,40.15,40.75,40.75,216594
2024-09-13 09:30:00,40.75,40.75,40.35,40.35,40.35,103383
2024-09-13 10:00:00,40.35,40.4,40.25,40.3,40.3,41683
2024-09-13 10:30:00,40.3,40.45,40.2,40.2,40.2,61515
2024-09-13 11:00:00,40.15,40.3,40.1,40.25,40.25,89065
2024-09-13 11:30:00,40.25,43.55,40.2,42.9,42.9,1440510
2024-09-13 12:00:00,42.9,43.1,42.4,42.85,42.85,701192
2024-09-13 12:30:00,42.95,43.05,42.7,42.8,42.8,363984
2024-09-13 13:00:00,42.8,42.9,42.4,42.5,42.5,423400
2024-09-16 09:00:00,42.6,44.3,42.5,43.3,43.3,1134694
2024-09-16 09:30:00,43.3,43.5,42.8,42.95,42.95,334259
2024-09-16 10:00:00,42.95,43.0,42.75,42.95,42.95,147710
2024-09-16 10:30:00,42.9,43.05,42.7,42.7,42.7,172146
2024-09-16 11:00:00,42.7,43.0,42.65,42.8,42.8,59390
2024-09-16 11:30:00,42.9,43.05,42.65,42.7,42.7,104142
2024-09-16 12:00:00,42.7,42.8,42.25,42.35,42.35,227318
2024-09-16 12:30:00,42.4,42.65,42.3,42.35,42.35,122430
2024-09-16 13:00:00,42.35,42.5,42.2,42.4,42.4,370120
