Datetime,Open,High,Low,Close,Volume
2024-07-22 10:00:00,36.15,36.8,35.95,36.1,125304.0
2024-07-22 11:00:00,36.3,36.55,36.05,36.1,52461.0
2024-07-22 12:00:00,36.1,36.2,35.7,36.05,93791.0
2024-07-22 13:00:00,36.05,36.3,35.95,35.95,38191.0
2024-07-23 09:00:00,36.25,37.1,36.25,36.5,106378.0
2024-07-23 10:00:00,36.45,36.6,36.1,36.1,61836.0
2024-07-23 11:00:00,36.1,36.2,35.6,35.65,153142.0
2024-07-23 12:00:00,35.6,35.75,35.5,35.7,82979.0
2024-07-23 13:00:00,35.7,35.85,35.65,35.7,51987.0
2024-07-26 09:00:00,35.6,35.6,34.3,34.5,0.0
2024-07-26 10:00:00,34.5,35.0,34.35,34.75,158014.0
2024-07-26 11:00:00,34.75,34.95,34.45,34.45,123645.0
2024-07-26 12:00:00,34.5,34.7,34.35,34.5,67499.0
2024-07-26 13:00:00,34.5,34.6,34.1,34.35,167068.0
2024-07-29 09:00:00,34.35,34.7,34.1,34.35,0.0
2024-07-29 10:00:00,34.3,34.3,32.75,33.05,404999.0
2024-07-29 11:00:00,33.2,33.5,33.2,33.25,58090.0
2024-07-29 12:00:00,33.35,33.5,33.1,33.1,64794.0
2024-07-29 13:00:00,33.05,33.45,33.0,33.45,72189.0
2024-07-30 09:00:00,33.0,33.6,33.0,33.3,48521.0
2024-07-30 10:00:00,33.3,33.35,33.05,33.15,53781.0
2024-07-30 11:00:00,33.1,33.5,33.1,33.5,38190.0
2024-07-30 12:00:00,33.5,33.9,33.5,33.75,55421.0
2024-07-30 13:00:00,33.75,34.0,33.7,34.0,50896.0
2024-07-31 09:00:00,33.5,34.3,33.5,33.7,77143.0
2024-07-31 10:00:00,33.65,34.3,33.65,34.2,65235.0
2024-07-31 11:00:00,34.1,34.1,34.0,34.0,38334.0
2024-07-31 12:00:00,34.0,34.0,33.9,33.9,28751.0
2024-07-31 13:00:00,33.9,33.95,33.85,33.85,19441.0
2024-08-01 09:00:00,34.2,36.5,34.2,36.1,301001.0
2024-08-01 10:00:00,36.3,36.8,36.3,36.55,198020.0
